Temperature,Humidity,Precipitation,SpeciesRichness,DominantSpecies,Abundance,ParasiteLoad,PollinationRate,PredationRate,LightIntensity
31.9,36.2,7.3,6,Ant,233,1,0.57,0.27,267.2
26.1,72,10.8,14,Wasp,400,0.5,,0.39,223.1
32.1,69.7,11.4,7,Ant,320,4.7,0.66,,309.8
22.7,32.9,4.5,7,Butterfly,370,4.7,0.55,0.31,429.1
21.3,77.5,11.4,5,Beetle,418,3.1,0.64,0.31,831.9
22.1,61.1,,5,Butterfly,,0.1,,0.49,922.9
,,,1,Bee,212,1.1,0.58,0.35,600.8
,77.3,8.4,18,Butterfly,86,4,0.91,0.16,817
21.8,54.7,9.1,10,Butterfly,289,4.4,0.95,0.06,725.9
26,58.9,18.6,17,Bee,79,2.3,0.92,0.15,149
26.6,,11.7,8,Bee,267,1.8,0.78,0.25,759.8
25.4,49.3,19,15,Butterfly,60,1.4,0.32,0.23,879
15.1,80.7,11.1,14,Bee,493,0.6,0.45,0.42,672.2
34.8,41.2,10,15,Butterfly,337,0.6,0.35,0.4,243.5
,55,0.1,19,Butterfly,,,0.69,0.09,993
19.2,89.3,9.6,4,Bee,443,4,0.39,0.48,827.3
20.8,44.2,18.5,6,Ant,173,0.8,0.78,0.29,478.9
,85,4,,Bee,223,1,0.2,,808.7
33,85.1,1,14,Beetle,71,3.3,,0.23,574.9
34.7,35.5,8.1,10,Ant,378,3.8,0.63,0.34,765.9
20.2,57.8,7.4,10,Beetle,167,4.1,0.85,0.44,770.3
26.3,60.1,17.1,5,Bee,104,0.8,0.49,0.35,779.9
31.1,48.8,0.5,10,Bee,492,4.9,0.66,0.49,121.6
22.9,32.8,18.4,7,Butterfly,335,1.1,0.6,0.37,110.1
29.6,44.5,,6,Beetle,230,2.9,0.98,0.42,986.2
18.2,35.7,18.1,8,Bee,394,2.9,0.78,0.07,766.9
27,44.3,12.2,,Bee,326,,0.59,0.35,844.1
32.3,78.5,16.2,18,Bee,387,3.3,0.26,0.34,218.1
34.7,83.7,6.7,4,Beetle,325,2.9,0.91,0.1,387.1
16.6,32.6,7,4,Bee,281,2.6,0.29,0.43,990.2
23.6,48.1,7.8,9,Wasp,418,3.8,0.69,0.33,132.7
19.1,88.8,15.1,4,Wasp,216,0.5,0.94,,725.3
24,62.4,7.4,13,Bee,340,0,0.3,0.32,248.1
26,67.6,4.8,8,Ant,78,4.8,0.3,0.27,438.4
16.9,30.3,18.8,18,Beetle,415,2.5,0.87,0.15,930.3
20.9,59.1,18.2,2,Butterfly,105,1.6,0.84,0.06,539.6
33.6,89.3,7,7,Ant,421,1.8,0.42,0.21,779.4
26.4,52.5,12.7,15,Wasp,488,,0.34,0.33,164.9
24.1,35.8,5.5,5,Beetle,486,,0.21,0.2,436
30.1,57.7,4.1,15,Butterfly,225,3.9,0.99,0.19,113.8
29.8,87.8,6.7,1,Wasp,116,2.2,0.85,0.39,891.1
16,50.5,6.5,10,Bee,488,4.2,0.91,0.39,763.9
29.2,77.9,17.6,20,Bee,337,0.4,0.56,0.37,217
31.8,77.9,16.4,15,Butterfly,363,2.4,0.2,0.1,496.7
